"idBrand","brand"
1,"0GENERICO"
2,+PERFETTA CARE
3,"24K"
4,"3D MASSAGER"
5,AAUNG
6,ABS
7,ABSOLUTE
8,ADDICT
9,ADORO
10,AGUJAS BIOMASER DE ROSCA
11,AGUJAS UNIVERSALES
12,AGUJAS UNIVERSALES DE TATUAR Y MICROPIGMENTACION
13,ALICE
14,ALLURE
15,AMALFI
16,AMAZING SHINE
17,AMOR US
18,AMY
19,ANA BEAUTY
20,ANGIE
21,ANJIEER
22,ANQIXIU
23,ANTONIO BANDERAS
24,AOYASIYUE
25,ARTEMIAEXTRAC
26,AS
27,AVALEIS
28,AWAN
29,AZEIDA
30,BARBER PRO
31,BARBER SHOP
32,BARBERO
33,BEAUTIFUL NAILS
34,BEAUTY
35,BEAUTY INSTRUMENT
36,BEAUTY MODEL
37,BELL
38,BELLESRE
39,BIGGERBOWIE
40,BIO VITALY
41,BIOMASER
42,BIOTOUCH
43,BJ BLAST
44,BLACK POWER
45,BMX
46,BODEGAS MARK 2
47,BOSHILING
48,BRITNEY SPEARS
49,BUTTERFLY
50,BYPHASSE
51,BYSPRO
52,C&L
53,CAMTOYZ RAW
54,CECILLIA
55,CHARCOAL
56,CHARM LIMIT
57,CHARMANT
58,CHENALE
59,CHINO
60,CHIVEY
61,CHOCOLIFE
62,CLAVIN KLEIN
63,CLEANER
64,CONNERT
65,CONTOOR KHOL
66,COQUETA'S
67,CORRUGATED
68,CREED
69,CROCODILE
70,C-SILAM
71,CSLAB
72,CURVY
73,DH
74,DIAMOND FOIL
75,DINAMIC
76,DISAAR
77,DIY
78,DODO GIRL
79,DOUCCE
80,DR MEINAIER
81,DRAGON RANCE
82,DRS
83,E&A
84,EASY FRENCH
85,ECCSECE
86,ENCANTO
87,EP CHEMICALS
88,ERHA 21
89,ESGIDO
90,EUFORIA
91,EURO DENTAL
92,EXPERENCE INCREDIBLY
93,EXPOSSED LABC
94,EXTREME BEAUT
95,EYEBELLE
96,EYEBROW CREAM
97,EYEBROWN
98,EYELA
99,EYELINER
100,EZFIOW
101,FA LING
102,FACE WASH
103,FAFULA
104,FAIR
105,FAMISOO
106,FANG ZI
107,FANTASIAS ARIEL
108,FANTASIAS RUBY
109,FARCLOSE
110,FASHION
111,FASHION DE L
112,FASHION JEWELLY
113,FASHION NAIL
114,FASMC
115,FAWY
116,FAYUAN
117,FEBBLE
118,FEMALE MASTURBATION
119,FEMME FATALE
120,FENGPASS
121,FENTY
122,FIT WE
123,FLATBACK
124,FLAVOR SX
125,FLAWLESS
126,FLOWERS
127,FOR HER
128,FOR ME ONLY
129,FOR MEN
130,FOREVER
131,FORGET ME
132,FR
133,FRESH
134,FRUIT OF THE WOKALI
135,FUZE
136,G BEAUTY
137,GALENCO
138,GARNIER
139,GEIMEI
140,GENERATION
141,GENERICO
142,GERALDY
143,GIANNI ROTTI
144,GIVENCHY
145,GLAM BEAUTY
146,GLAM NAILS
147,GLOBALNAIL
148,GLOSS NUDE
149,GNAILS
150,GND
151,GNDG
152,GOLD FINGER
153,GREEN TEA
154,GREYMA
155,GUANJING
156,GUCCI
157,GUESS
158,GUILLOTINA
159,GULF GIRL
160,GUO JI FENG
161,GWD
162,HAIR CLIPPER
163,HAN KAI
164,HAND SANITIZER
165,HANZHIKAI
166,HAR COLOR
167,HEAD SHOULDERS
168,HEALTH
169,HEALTHY
170,HEAUTHY
171,HEAVEN
172,HELLO KITTY
173,HENNA
174,HIDRA COLOR
175,HIDROXON
176,HOLIDAYS
177,HONEY NAIL
178,HOT HUEZ
179,HUASHI
180,HUASISI
181,HUDA
182,HUDA BEAUTY
183,HUDABEKITY
184,HUDAMOJI
185,HUGO BOSS
186,HUXIA
187,HUXIA BEAUTY
188,HUXIABEAUTY
189,ICONSIGN
190,IMAN OF NOBLE
191,INGESA
192,INK MIXER
193,INTERBEL
194,ISABELLA
195,ISSUE
196,ITALIA
197,ITALIA DELUXE
198,ITIS BEAUTY
199,IVENTAGE
200,JACLYN
201,JAGUAR
202,JESEE
203,JEWEL MANIKURE
204,JEWELRY STORAGE
205,JIANHUI
206,JIN DIE
207,JINCHINIAO
208,JLASH
209,JOHNSONS
210,JUMBO
211,KAIO
212,KAIZE
213,KAIZER
214,KAJAL
215,KALIYA
216,KALIYA BEAUTY
217,KAM DFLY
218,KARITE
219,KATIVA
220,KEEP COLOR
221,KEKE
222,KINGJUN
223,KISSBEAUTY
224,KISSCROW
225,KIYOME
226,KL
227,KLEANCOLOR
228,KNAIL
229,KOLINSKY
230,KONSUNG
231,KRISBEAUTY
232,KRISSCROWN
233,KUUL
234,KYLIE
235,L&D
236,L. A. COLORS
237,L.A COLORS 
238,L.A GIRL
239,LAIWANG
240,LALA'S
241,LANCE'S COCK
242,LANCOME
243,LANELL
244,LEAUVIVE
245,LECHE PAL PELO
246,LEHIT
247,LEI NA
248,LEMAY
249,LETVAS
250,LEVEL BEAUTY
251,LF
252,LIANG
253,LICOL
254,LIDIAN
255,LILI PINK
256,LILO
257,LILY BREEZE
258,LINA
259,LINDA
260,LINGE
261,LINGPAN
262,LINUS
263,LIP BALM
264,LIPSTICK SHELF
265,LIRA
266,LIRU
267,LISSIA
268,LM SELECTED
269,L'MAR
270,LOLA
271,LONDON
272,LOREAL
273,LOVE
274,LSH
275,LUBRIDERM
276,LUET
277,LUKASI
278,LUX MI
279,M&CO
280,MAC
281,MAC LIGHTFUL
282,MACALLUR
283,MADE FOR YOU
284,MAGIC
285,MAGIK
286,MAKE UP
287,MAKEUP
288,MAKEY PLUSS
289,MALIBU
290,MARIA JOSE
291,MARIPOSA
292,MARLIOU
293,MARTINA
294,MASGLO
295,MASHE
296,MASTERNAILS
297,MASTOR
298,MAXE
299,MAXYBELT
300,MAYBELLINE
301,MAYFIELD
302,MECOW
303,MEFAPO
304,MEILINDER
305,MELODY
306,MERCEDES
307,MERCURY
308,MERHEJE
309,MERRY
310,MERRYCOLOR
311,METAL CARE
312,MIA SECRET
313,MICKEY
314,MILAI
315,MILK
316,MILLENIUM
317,MILLION
318,MILLY
319,MINI FAN
320,MINNIE
321,MIRROR
322,MISS ADORO
323,MISS BEAUTY
324,MISS DEMI
325,MISS KALIYA
326,MISS KAREENA
327,MISS LOU
328,MISS NANA
329,MISS SQUILD
330,MISS SUMMER
331,MISS VANESSA
332,MISSYAHO
333,MITHRA
334,MIXUEER
335,MK
336,MOC ALLURE
337,MOC MALLURE
338,MOFAJANG
339,MOLLIE
340,MOMING BUD
341,MURPHY
342,MUSHEE
343,MYLIFE
344,MYM
345,NABI
346,NAGARAKU
347,NAIL
348,NAIL AAT
349,NAIL ART
350,NAIL DECORATIONS
351,NAIL SUPPLIES
352,NAILEN
353,NAKED
354,NANO
355,NAPROLAB
356,NATALY
357,NATIVO'S
358,NATURAL HAIR
359,NATURE`S BEE
360,NAUGHTY
361,NAVINA
362,NEATCELL
363,NEICHA
364,NEUTROGENA
365,NEVADA
366,NEW FASHION
367,NEW QUALITY
368,NEW STETIC
369,NINE
370,NIVEA
371,NML
372,NO NIX
373,NOA
374,NOBLE
375,NOVA
376,NUBELLE
377,NUDE NEW
378,NUDES
379,OLALI
380,ONGEA
381,OPALESCENT
382,OPI
383,ORANOT
